kamar;bangunan;lahan;harga
3;90;105;1700000000
3;200;252;2850000000
4;120;84;650000000
2;65;75;600000000
3;105;75;1550000000
3;150;180;1150000000
2;45;78;671900000
5;350;469;5500000000
2;168;92;1752000000
4;329;700;5000000000
3;150;301;1550000000
3;150;130;2150000000
2;36;60;170000000
4;260;270;2900000000
3;100;101;1850000000
6;280;200;3600000000
4;200;153;1400000000
3;165;144;1800000000
5;70;150;1000000000
3;130;102;850000000
11;200;392;2600000000
4;400;224;1150000000
4;120;150;1200000000
3;60;81;745000000
4;600;1400;25000000000
6;280;285;2250000000
0;111;66;575000000
4;110;90;780000000
2;66;61;684000000
5;500;988;13500000000
3;135;204;1850000000
3;400;1444;12000000000
5;420;564;5500000000
5;170;120;1000000000
3;100;144;1350000000
3;87;112;990000000
3;150;180;3250000000
3;90;93;1600000000
2;54;160;625000000
4;150;220;2600000000
3;109;220;3600000000
15;500;640;19500000000
2;55;100;950000000
5;400;500;5775000000
2;68;41;883000000
4;1400;860;12000000000
5;200;235;3000000000
5;215;190;4400000000
2;60;55;300000000
3;97;162;1750000000
2;60;72;400000000
3;110;450;2500000000
2;60;126;1300000000
4;170;200;3200000000
2;75;90;800000000
2;80;84;740000000
3;50;72;613000000
6;700;470;14000000000
4;600;320;8799999999
3;200;117;1050000000
5;180;180;1700000000
6;200;750;10000000000
4;230;120;750000000
3;126;162;1450000000
3;80;112;850000000
2;36;72;346000000
4;100;120;1200000000
4;220;165;1500000000
4;250;150;2700000000
5;650;890;7000000000
3;300;415;7900000000
4;170;169;1850000000
5;200;187;1700000000
3;150;255;2750000000
7;400;440;3100000000
3;200;120;650000000
6;348;170;4500000000
3;600;514;7000000000
4;130;252;2000000000
2;90;102;1300000000
8;324;524;9516200000
4;300;420;3950000000
3;90;124;1125000000
2;54;104;800000000
5;275;413;5400000000
2;50;66;650000000
4;223;284;3300000000
4;220;165;1500000000
4;250;150;2700000000
5;650;890;7000000000
2;57;60;500000000
2;40;55;225000000
5;165;152;1100000000
3;180;165;2200000000
3;50;65;689000000
2;48;75;525000000
3;90;68;925000000
3;50;46;678000030
8;431;421;5500000000
2;80;65;650000000
5;300;210;2000000000
4;350;734;17000000000
5;250;235;3500000000
7;187;295;4500000000
4;120;145;1450000000
2;36;54;644000000
4;400;605;3800000000
5;450;473;5500000000
2;100;144;1650000000
5;180;144;1600000000
2;150;86;850000000
9;240;120;1700000000
4;150;140;1850000000
7;187;295;4500000000
2;50;66;712000000
2;60;72;1100000000
5;350;400;3600000000
4;363;434;6000000000
3;75;90;1500000000
5;280;200;3600000000
4;230;225;3425000000
5;140;91;1200000000
2;80;98;790000000
4;130;132;1350000000
4;250;170;1600000000
2;36;50;155170000
3;150;85;1400000000
3;95;105;755000000
9;500;331;3500000000
6;550;450;5000000000
4;250;640;6000000000
5;350;490;6700000000
2;45;64;450000000
3;100;115;700000000
6;550;450;5000000000
2;45;64;450000000
4;250;640;6000000000
5;350;490;6700000000
4;150;144;1500000000
2;45;65;440000000
3;110;69;625000000
3;75;90;1500000000
4;230;225;3425000000
5;280;200;3600000000
9;500;331;3500000000
2;80;98;790000000
2;45;65;675000000
4;160;168;1530000000
3;100;60;825000000
4;72;84;800000000
4;500;536;9000000000
4;90;100;1395000000
2;45;60;383169900
3;120;91;1350000000
3;98;108;1500000000
3;100;72;980000000
3;164;270;3200000000
4;105;80;991000000
5;380;564;4900000000
6;280;240;2800000000
3;180;90;1000000000
2;65;72;572000000
6;160;318;2300000000
5;240;188;2400000000
