kamar;bangunan;lahan;harga
4;400;204;2500000000
3;227;300;4000000000
7;276;350;4250000000
3;150;170;2550000000
4;280;180;3500000000
4;141;140;1600000000
4;300;200;4000000000
10;300;477;3500000000
2;144;172;3500000000
5;348;588;7500000000
4;300;226;2800000000
2;48;90;485000000
3;90;126;1635750000
7;350;276;4250000000
2;42;89;413000000
2;50;152;975000000
3;75;84;585000000
3;96;158;650000000
2;36;80;380000000
2;60;84;490000000
3;60;67;737000000
4;175;125;900000000
3;160;126;1100000000
4;220;207;3300000000
9;400;375;3250000000
3;160;126;1100000000
6;600;385;3500000000
4;85;150;1000000000
4;280;120;3200000000
4;120;117;1163000000
2;54;66;1275000000
4;129;387;1300000000
8;400;420;9900000000
6;440;230;3200000000
3;190;262;3000000000
6;126;190;3325000000
3;255;187;3350000000
4;300;197;3200000000
6;237;202;1275000000
3;83;83;1257000000
4;270;200;1299000000
1;196;106;1300000000
3;127;160;1300000000
4;200;280;3300000000
6;380;200;3600000000
3;376;216;6300000000
3;106;211;3700000000
3;160;251;3200000000
4;159;176;3499800000
4;159;176;3500000000
3;160;198;1250000000
2;30;40;115000000
3;100;104;1700000000
8;320;252;2250000000
3;69;99;1149000000
4;550;350;3400000000
3;167;160;1450000000
3;260;180;3100000000
5;650;649;11000000000
3;90;110;1100000000
6;422;427;3000000000
2;53;90;1001000000
2;90;97;1150000000
5;185;120;2300000000
3;350;235;4250000000
5;330;238;3100000000
4;156;160;3210000000
4;142;180;3041500000
2;38;72;259000000
3;250;156;3150000000
4;450;700;13000000000
5;120;110;1067000000
3;120;150;975000000
4;300;292;2500000000
5;130;122;3500000000
2;43;72;355000000
2;60;72;550000000
2;50;72;175000000
2;50;66;650000000
4;177;165;1450000000
4;400;257;3200000000
6;160;140;1100000000
2;600;358;10500000000
3;135;145;1300000000
18;320;175;1850000000
5;200;224;3300000000
3;100;100;2000000000
6;150;208;1380000000
4;300;120;3250000000
5;235;214;1300000000
5;155;135;2850000000
5;280;200;5000000000
4;155;184;1200000000
9;300;200;1300000000
3;94;120;1770000110
0;133;162;2400000000
2;87;114;1100000000
3;200;128;1150000000
15;196;196;3500000000
2;180;115;1050000000
4;200;105;1290000000
2;90;135;700000000
4;290;120;3200000000
3;90;110;1200000000
4;210;448;1300000000
3;175;250;3100000000
2;70;102;675000000
5;500;216;3400000000
4;214;180;3500000000
5;270;242;3250000000
5;215;299;3400000000
5;269;458;9500000000
2;45;72;567000000
5;300;242;3400000000
5;300;242;3400000000
4;160;167;1444000000
